student_id,branch,year,sleep_hours,study_hours,screen_time,stress_level,workload,exercise_hours,caffeine_intake,break_frequency,assignment_pressure,feedback_text,fatigue_level
1,Electrical Engineering,4,8.7,5,8.2,9,3,1.1,1,4,6,Too many assignments and exams causing fatigue,high
2,Electronics Engineering,2,8.2,4.7,5.4,6,6,0.4,0,1,3,Managing studies but feeling some stress,medium
3,Civil Engineering,1,6.8,9.2,4.8,9,3,0,1,5,6,Too many assignments and exams causing fatigue,high
4,Electronics Engineering,3,7.8,6.9,9.7,6,8,0.5,4,5,5,Managing studies but feeling some stress,medium
5,Electronics Engineering,1,7.1,4,3.5,6,2,2,4,1,2,Managing studies but feeling some stress,medium
6,Mechanical Engineering,1,6.4,6,2.7,5,9,1.6,1,1,9,Managing studies but feeling some stress,medium
7,Civil Engineering,2,3.8,4.6,8.2,5,3,1.9,0,3,8,Managing studies but feeling some stress,medium
8,Civil Engineering,4,7.9,9.5,2.5,2,5,1,1,4,3,Feeling relaxed and focused,low
9,Civil Engineering,2,7.9,2.1,8.7,8,8,0.2,1,4,8,Too many assignments and exams causing fatigue,high
10,Electronics Engineering,2,6.8,3.8,5.5,8,2,1.1,1,1,9,Too many assignments and exams causing fatigue,high
11,Electrical Engineering,2,7.9,4.9,9.3,1,6,0.9,2,2,3,Feeling relaxed and focused,low
12,Civil Engineering,2,6.9,5.9,7.8,8,5,1.7,4,5,3,Too many assignments and exams causing fatigue,high
13,Information Technology,3,4.2,8.8,6.9,5,9,0.2,3,5,2,Managing studies but feeling some stress,medium
14,Electronics Engineering,4,4.6,2.7,9.6,2,5,1,3,1,8,Feeling relaxed and focused,low
15,Mechanical Engineering,1,4.3,8.4,5.2,2,2,0.3,2,2,1,Feeling relaxed and focused,low
16,Electrical Engineering,1,5.3,2.4,9.6,6,5,0.6,1,3,8,Managing studies but feeling some stress,medium
17,Information Technology,4,3.2,8.7,3.1,9,4,1.5,2,1,7,Too many assignments and exams causing fatigue,high
18,Information Technology,1,6.7,2.4,5.9,1,7,1,2,1,7,Feeling relaxed and focused,low
19,Mechanical Engineering,4,5,2.1,4.2,6,6,0.8,0,5,3,Managing studies but feeling some stress,medium
20,Electrical Engineering,1,6.9,7.6,6.3,9,2,0.8,4,1,1,Too many assignments and exams causing fatigue,high
21,Electronics Engineering,2,5.3,10,3.3,8,5,0.9,3,1,4,Too many assignments and exams causing fatigue,high
22,Computer Engineering,1,7.1,9.2,8.7,6,7,1.6,1,1,9,Managing studies but feeling some stress,medium
23,Electrical Engineering,4,5,6.6,8.8,3,7,1.8,3,5,5,Feeling relaxed and focused,low
24,Mechanical Engineering,4,4.6,9.3,9.6,8,5,1.9,3,3,1,Too many assignments and exams causing fatigue,high
25,Information Technology,4,6,2,3.2,9,9,1.6,4,3,5,Too many assignments and exams causing fatigue,high
26,Electronics Engineering,4,7.2,9.8,7,1,4,0.6,3,1,8,Feeling relaxed and focused,low
27,Electrical Engineering,4,5.1,5.9,5.8,9,3,1.4,3,5,8,Too many assignments and exams causing fatigue,high
28,Computer Engineering,3,8.6,7.8,4.8,6,4,0.9,2,3,5,Managing studies but feeling some stress,medium
29,Computer Engineering,3,3.2,8.6,4.8,6,5,0.5,4,3,9,Managing studies but feeling some stress,medium
30,Civil Engineering,1,5.5,7.7,5.3,4,6,1.7,0,3,1,Feeling relaxed and focused,medium
31,Civil Engineering,4,8.8,6.3,7.6,1,3,0.1,1,5,4,Feeling relaxed and focused,low
32,Mechanical Engineering,1,6.3,5.8,6.8,10,2,1.8,3,5,3,Too many assignments and exams causing fatigue,high
33,Electrical Engineering,4,5.5,8.7,5.7,8,4,0.9,1,1,2,Too many assignments and exams causing fatigue,high
34,Electrical Engineering,4,6.4,3.6,2.6,2,5,1.3,0,4,8,Feeling relaxed and focused,low
35,Information Technology,3,6.5,9.7,2.6,1,4,1.3,1,3,7,Feeling relaxed and focused,low
36,Information Technology,3,7.4,7.7,2,2,3,1.8,0,4,9,Feeling relaxed and focused,low
37,Information Technology,2,3.8,3.6,9.7,1,8,1.3,2,5,2,Feeling relaxed and focused,low
38,Civil Engineering,3,4.5,7.9,2,1,4,1.2,3,5,4,Feeling relaxed and focused,low
39,Electrical Engineering,2,6.5,6.2,2.8,9,2,0.1,0,5,6,Too many assignments and exams causing fatigue,high
40,Electrical Engineering,2,8.2,7.7,4.5,1,2,1,1,4,3,Feeling relaxed and focused,low
41,Computer Engineering,2,6.4,8.1,8.5,4,1,0.3,3,5,8,Feeling relaxed and focused,medium
42,Civil Engineering,2,4.4,2.7,9.7,10,4,1.5,2,1,3,Too many assignments and exams causing fatigue,high
43,Electronics Engineering,2,7.1,6,8.3,6,9,1,3,5,2,Managing studies but feeling some stress,medium
44,Civil Engineering,1,7.4,9.5,7.5,7,7,1.4,0,2,3,Managing studies but feeling some stress,high
45,Electronics Engineering,3,4.4,4.6,6.2,2,7,0.1,2,4,6,Feeling relaxed and focused,low
46,Computer Engineering,2,5.3,6.8,2.7,6,7,0.2,1,2,2,Managing studies but feeling some stress,medium
47,Mechanical Engineering,4,6.2,5,9.7,7,8,1.4,2,5,8,Managing studies but feeling some stress,high
48,Electrical Engineering,3,6,5.6,8.1,10,1,0.1,2,1,1,Too many assignments and exams causing fatigue,high
49,Computer Engineering,3,5.3,6.4,7.1,10,8,0.1,4,3,7,Too many assignments and exams causing fatigue,high
50,Electrical Engineering,2,4.8,6.4,8.1,2,4,0,2,5,2,Feeling relaxed and focused,low
51,Information Technology,1,3.6,3.6,7.8,2,4,1.9,2,1,6,Feeling relaxed and focused,low
52,Mechanical Engineering,2,3.3,7.5,7.1,10,4,1.5,3,4,2,Too many assignments and exams causing fatigue,high
53,Mechanical Engineering,1,8.8,2.7,9.8,7,6,0.7,1,2,2,Managing studies but feeling some stress,high
54,Computer Engineering,4,8.1,3.1,9.2,1,7,0.6,3,2,8,Feeling relaxed and focused,low
55,Mechanical Engineering,3,5.1,2,7.2,8,6,0.7,3,2,2,Too many assignments and exams causing fatigue,high
56,Electronics Engineering,4,8.7,2.9,7.5,3,1,1.5,0,4,7,Feeling relaxed and focused,low
57,Mechanical Engineering,1,7.1,5.8,2.4,6,8,1.3,3,1,3,Managing studies but feeling some stress,medium
58,Electrical Engineering,1,5.9,6.8,7.4,9,7,0.4,4,4,8,Too many assignments and exams causing fatigue,high
